Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,"382,788","414,967","435,965","448,140","461,772","481,405","501,861","535,015","566,519","583,776"
Slovakia,"135,276","141,755","145,972","151,678","157,299","163,051","161,482","168,409","179,209","186,793"
Slovenia,"57,694","59,391","59,745","61,745","63,653","65,283","70,072","75,777","80,966","85,225"
Solomon Islands,"1,028","1,125","1,162","1,243","1,280","1,313","1,400","1,469","1,543","1,597"
Somalia,,"18,810","14,577","13,593","16,035","19,170","21,529","23,162","24,402","25,712"
South Africa,"661,486","696,526","698,221","730,518","741,916","758,901","772,769","790,171","820,855","836,803"
South Sudan,,"32,693","14,508","17,633","17,159","16,752","10,415","5,774","5,779","5,926"
Spain,"1,471,463","1,489,595","1,483,654","1,512,562","1,558,987","1,622,260","1,733,941","1,844,925","1,930,276","2,001,602"
Sri Lanka,"171,910","190,669","216,884","231,454","243,244","256,002","276,840","291,299","304,856","309,290"
Saint Kitts and Nevis,"1,110","1,151","1,105","1,162","1,265","1,270","1,335","1,401","1,462","1,547"
Saint Lucia,"2,163","2,315","2,301","2,388","2,446","2,427","2,577","2,704","2,845","2,887"
Saint Vincent and the Grenadines,"1,161","1,178","1,195","1,257","1,304","1,323","1,434","1,433","1,512","1,548"
Sudan,"171,864","169,773","137,750","142,298","168,145","170,579","220,533","191,889","191,790","190,134"
Suriname,"7,678","8,295","9,148","9,854","10,226","9,623","8,509","10,431","11,198","11,519"
Sweden,"400,207","421,516","432,488","444,617","457,508","481,300","500,373","530,433","553,165","573,621"
Switzerland,"437,286","454,811","475,322","498,888","519,422","540,526","563,660","580,341","610,565","627,994"
Taiwan,"889,651","941,367","973,232","1,015,239","1,066,102","1,102,036","1,112,781","1,143,224","1,202,002","1,259,626"
Tajikistan,"17,531","19,216","21,657","24,570","27,630","25,288","26,986","28,887","31,794","34,720"
Tanzania,"88,997","98,013","95,918","103,322","108,827","117,377","127,683","134,159","146,878","159,671"
Thailand,"886,886","912,790","1,008,787","1,049,948","1,059,446","1,087,227","1,146,041","1,205,839","1,285,550","1,334,769"
Timor-Leste,"2,121","2,293","2,658","2,864","3,195","3,484","3,817","3,950","4,013","4,878"
Togo,"10,348","11,177","11,618","12,359","13,251","14,087","14,772","15,472","16,585","17,694"
Tonga,425,463,476,486,504,515,554,582,597,611
Trinidad and Tobago,"41,083","41,850","42,895","42,843","43,509","40,652","38,524","39,155","39,811","40,625"
Tunisia,"113,636","113,607","116,403","117,962","121,970","121,024","124,271","128,449","134,840","139,281"
Turkey,"1,281,219","1,454,112","1,550,688","1,703,670","1,860,471","2,022,940","2,116,184","2,282,304","2,404,932","2,465,315"
Turkmenistan,"77,217","88,787","90,768","88,709","95,231","95,655","93,047","98,988","103,017","100,906"
Tuvalu,30,33,32,34,35,39,41,43,45,52
Uganda,"73,735","81,034","77,235","80,260","84,146","86,728","85,446","89,781","96,951","106,095"
Ukraine,"378,335","407,226","425,994","486,365","461,987","435,490","475,722","504,188","533,728","560,051"
United Arab Emirates,"574,804","623,132","648,604","664,073","696,795","621,559","619,289","645,503","668,965","687,733"
United Kingdom,"2,281,047","2,354,769","2,442,464","2,562,195","2,666,664","2,767,977","2,892,007","3,052,900","3,166,673","3,272,685"
United States,"15,048,975","15,599,725","16,253,950","16,880,675","17,608,125","18,295,000","18,804,900","19,612,100","20,656,525","21,521,400"
Uruguay,"61,648","66,168","67,064","70,739","74,543","75,258","77,215","80,027","81,995","84,146"
Uzbekistan,"156,258","171,483","180,491","190,612","199,767","209,082","216,467","221,561","239,962","258,584"
Vanuatu,565,595,612,625,656,665,703,760,800,840
Venezuela,"476,215","506,340","544,784","561,498","549,030","519,651","435,197","373,568","307,018","225,792"
Vietnam,"471,314","511,889","568,401","607,018","660,612","700,257","770,872","851,064","935,547","1,021,256"
Palestine,"14,880","16,646","19,950","20,886","22,996","25,426","27,536","28,519","29,530","30,435"
Yemen,"96,397","85,876","85,441","92,756","94,193","68,454","62,625","60,514","62,366","64,744"
Zambia,"43,263","46,612","49,509","53,420","54,506","54,473","55,712","58,735","62,505","64,470"
Zimbabwe,"23,249","27,098","31,163","34,191","35,502","37,028","37,965","34,403","36,947","35,197"
